Emotion,Angle1,Angle2,Angle3,Angle4,Angle5,Angle6,Angle7,Angle8,Angle9,Angle10,Angle11,Angle12,Angle13,Angle14,Angle15,Angle16,Angle17,Angle18,Angle19,Angle20,Angle21,Angle22,Angle23,Angle24,Angle25,Angle26,Angle27,Angle28,Angle29,Angle30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feliz,6.911272907,168.6900316,15.94540979,167.1711524,7.765212952,165.9637261,171.8698546,0.545946411,2.835960516,173.6595955,22.75552249,56.14287011,175.6011941,149.0362522,124.2374822,33.69006872,3.656804652,156.1247004,32.75895442,46.31125647,173.9744092,135.8112932,179.9648263,6.35521006,90.8671797,38.86559648,161.8712089,154.6220813,103.3257899,117.3498366,50.93538244,26.1066959,26.80084988,133.0116408,158.1985755,126.8698169,63.04960623,104.3002741,71.13027555,75.96364728,71.56502166,12.07084437,7.806269098,131.8199595,168.8181194,33.4301674,2.971885619,17.28939514,95.59921565,49.15963991,27.55282139,102.464083,14.27560384,0.279148799,161.5016491,168.6900436,71.56503459,58.57044232,176.7294922,30.94803092,46.14527736,176.8664189,159.9839533,1.908046138,22.14534377,33.52456765,49.92177349,7.169559563,104.3002741,35.6078626,89.65938915,170.2175627,41.16194942,80.82508067
Feliz,5.042515917,179.9702242,7.815320302,167.3577912,7.765218873,178.1523142,168.6900561,6.709862031,1.432518594,174.2891361,24.31699708,56.14286848,175.6011854,149.0362522,124.2374793,29.24268589,3.81410348,155.9380671,33.93272917,46.84760614,168.3010536,138.9644488,161.5649089,6.290682002,91.20487602,48.0127922,159.81082,166.9539263,103.3257872,128.6597587,49.03266173,27.40558299,24.65278361,133.423341,156.0374928,126.8698089,61.84659835,103.4451776,68.34432451,79.69504237,71.56501974,8.764103196,7.738228289,131.819925,171.5728509,32.913585,2.993775162,21.5015734,93.75160523,61.50435483,22.61988524,101.8024105,14.31002612,0.63159735,165.4091179,162.2417328,85.19202164,66.5186187,176.6531456,30.42538486,47.82215699,170.5376483,166.9498483,1.639608212,24.02666061,33.69016554,50.92237629,7.103469152,103.4451776,36.71546574,91.05329135,167.4711699,39.32982711,82.0565273
Feliz,5.758897675,179.9712202,13.39251315,163.8277921,7.765217659,178.1523106,170.5376674,1.332326027,1.397646395,174.289015,23.51698725,56.14286788,175.6011865,153.434956,127.7630939,32.44470501,3.814102872,149.7626095,33.93272875,47.6573843,168.3010537,137.174539,153.4349809,6.290681787,89.65338385,38.12628586,161.8745233,165.2214629,103.8895988,114.3410601,49.21096754,27.40558348,24.78570958,132.6765146,168.4951496,126.8698132,62.20566674,105.3873536,68.77580243,83.88430812,66.80137935,12.07084422,7.806393231,131.8199421,173.3085318,33.24716791,3.11881037,27.84175041,96.73588527,62.53575448,23.49858799,101.6639414,14.13709762,0.177033173,166.1201202,165.9266112,75.06856971,60.6795318,175.6012754,29.85936334,46.73279089,170.5376489,160.5296126,2.514794844,23.77247609,32.8451394,47.89577745,7.137409397,105.3873536,36.15407803,90.22893339,168.0916794,38.85564425,79.84888927
Feliz,5.042515802,179.9731174,6.483121024,167.1711533,6.831066805,168.6900577,170.5376676,6.340214306,2.862509926,179.9474674,22.99590024,56.1428679,175.4259437,146.8886685,127.7630937,29.5286744,3.814103705,155.9380683,32.91003186,47.65738471,168.301054,134.3701872,161.5649089,6.290682094,89.99997974,39.28941307,160.8342128,165.2214579,103.8895983,114.3410598,49.21096749,27.84961869,24.30456751,132.538224,163.3007323,126.8698087,61.6018724,103.8662241,70.37856126,71.56494076,84.80553383,14.15341011,7.21724125,123.6899003,171.5728507,33.59390117,2.889860767,26.89636766,92.93556336,61.50435497,1.942034514,101.6639412,14.76756873,0.602796377,163.0651278,166.3272685,69.55043703,66.51861885,175.6430036,31.12706821,47.2192836,177.2360407,163.6517256,1.672404773,23.77249953,33.35412159,47.31114739,7.097136027,103.8662241,36.81337879,91.16103059,166.6540184,39.9735617,79.84888918
Feliz,5.19449579,179.9700545,7.815319878,167.171154,6.879172045,165.963726,165.9637341,6.709861371,2.79281765,179.9446025,22.99590023,53.13008672,175.6011842,158.1985971,135.0000144,31.8659803,3.576353406,156.1246999,29.59909038,46.84760591,168.3010542,138.9644448,153.4349822,8.306685536,88.79508502,41.92104818,160.8342148,165.1133553,104.0241582,128.6597584,50.49305972,27.40558344,24.30456829,133.423341,166.3286523,126.8698077,62.31757472,103.8662243,71.02050277,71.56493885,58.67129117,12.07084412,8.000951294,131.8199324,168.2064582,33.41769573,3.012838065,22.75117457,97.28153352,51.22582218,22.61988583,103.9135025,14.31002608,0.602796202,166.1405803,166.3272685,69.55043725,59.39360111,175.6430066,31.13121178,45.68090426,177.2360405,163.2820815,1.639608182,23.77250008,33.35412183,51.19391877,7.052212263,103.8662243,36.57945253,91.16103026,173.9071976,39.42297214,81.13098148
Feliz,2.751960763,170.5376288,6.483119663,167.1711556,6.831068031,168.6900569,170.5376681,6.340214432,1.397418877,174.2891395,23.99728827,52.12499819,175.4259428,137.7263246,124.2374823,32.44470528,3.814103751,155.9380675,32.91003243,48.17982451,168.3010545,132.0641397,161.5649076,6.290682173,89.99998081,39.2894136,161.8386685,165.2214535,103.8895982,128.6597574,49.21096754,29.74488275,24.30456815,130.6838666,161.5650237,126.8698113,61.99087682,103.4451781,70.37856326,63.43485204,64.13361202,14.15341023,6.842767754,123.689898,173.3085282,33.29286014,3.46975137,15.16148433,93.7516043,61.50435519,24.62357617,102.3031027,13.94013612,0.996721682,162.7240058,165.926611,69.55043743,59.83994697,176.1858992,30.9602554,47.21928338,177.236041,163.6517277,0.992279819,30.32372295,26.73221324,50.60928845,7.052212255,103.4451781,36.81337915,90.22893219,166.6540175,39.97356379,79.9442233
Feliz,4.620690118,179.9708499,15.94540856,158.1985551,5.194509234,178.1523089,176.8201224,0.545952797,1.39765042,174.2891401,23.99728829,56.14286718,175.4259469,146.8886688,127.7630944,32.60200569,2.078424409,155.9380683,33.93272901,47.65738426,173.65977,134.3701899,179.9673345,6.29068193,89.65338382,42.82170733,160.8342145,165.221459,103.182951,120.5296701,52.40372997,28.30075735,25.00088252,132.473778,163.3007328,126.8698134,62.2056667,103.8662245,68.77580257,64.23056132,82.56855882,12.37774207,6.842767921,123.6899035,177.3364537,33.12840265,3.357209626,22.38026679,93.75160717,61.50435458,25.55997757,101.8945333,14.76756888,1.028218839,166.843515,165.9266107,69.55043739,58.57044248,176.9302656,30.77245816,46.7327908,177.2360419,160.5296173,1.826518493,29.74499917,26.73221205,47.58226088,7.097136015,103.8662245,36.68189137,89.81575763,168.0916774,40.05421474,80.98154065
Feliz,5.194494126,170.5376314,14.03626431,167.1711548,6.831065778,178.1523138,171.8698788,6.709860973,2.792818342,172.8747791,23.91055889,56.14286803,175.4259463,149.0362526,124.237481,31.86598019,1.840667395,156.1247001,32.75895507,47.22704152,171.0273644,133.8540541,171.8696569,6.290681734,89.65338479,42.82170677,159.8108277,165.2214639,104.7257769,112.8336197,52.40372982,22.30341837,24.30456787,132.4737784,161.565025,126.8698127,61.99087551,105.4051046,71.45198123,75.96364644,66.8013798,12.0708442,7.609529748,131.8199382,168.8181226,33.41769551,3.012837603,23.62956484,100.0078272,61.5043551,22.61988335,102.7099909,13.94013604,0.602795472,166.1201205,166.327269,84.80554806,48.15072823,176.1859052,30.59695082,44.65135012,177.2360431,163.8277448,1.826518302,23.77249838,33.35412041,51.46843418,7.037865988,105.4051046,36.57945235,89.53594719,177.8589912,39.42296899,80.98154058
Feliz,5.194495111,170.537631,13.39251306,167.1711539,6.879171721,165.9637263,165.963734,6.709861313,2.792935602,179.9329518,22.99590027,56.14286741,175.6011884,153.4349557,118.3007784,32.44470514,1.840667994,155.9380685,32.91003202,46.332215,168.3010543,137.1745335,171.8696505,6.460605327,90.8582791,41.92104839,159.8108267,165.1133575,106.3895238,120.5296704,52.40372989,27.84961892,24.30456701,131.6334322,169.0113149,126.8698097,62.70484332,106.2651904,71.45197983,83.8843107,82.56855792,12.07084415,6.867996933,123.6896227,173.3085283,33.28571968,2.993772404,23.6295668,100.0078258,51.22582185,23.49852916,102.4799413,14.64368433,0.634284521,165.4503018,165.3321582,84.80554766,59.39360122,175.6430013,30.39362364,45.23675974,177.5672049,163.2820807,1.63960814,23.77249826,33.35412009,47.89577782,7.097136024,106.2651904,37.05080837,90.2289331,173.9071967,39.49938139,83.36748453
Feliz,5.042514735,170.5376321,13.3925204,167.1711537,6.879171536,165.9637266,165.9637342,6.70986114,4.332383795,179.9450649,22.99590016,56.14286864,175.6011859,131.8201857,136.7357137,32.44470516,2.078423294,151.2601962,29.59909046,44.99999651,173.6597415,132.0641484,171.8696525,6.2906818,89.99998067,41.92104796,161.4532787,165.1133582,106.5156857,128.65976,49.21096744,27.40558315,25.00789778,131.6334341,158.198576,126.8698078,61.46606138,105.3873536,69.79872376,91.68450643,66.80138065,14.15341018,7.8460294,123.6898961,173.3085361,33.71737707,3.012838141,27.84174915,95.40366775,51.2258222,25.55998076,103.9135046,13.77330614,1.295510203,161.4697642,165.3321584,69.55043751,48.15072817,175.64301,30.39362448,45.68090424,177.2360424,163.2820815,1.708061761,23.44821599,33.69016191,48.58547213,6.672777172,105.3873536,37.12114342,90.64389935,173.9071991,39.4229697,82.23483321
